task,method,n_seeds,level,mean,std
pusht,SFP,3,0,0.9303,0.0060
pusht,SFP,3,0.2,0.9396,0.0157
pusht,SFP,3,0.4,0.8904,0.0136
pusht,SFP,3,0.6,0.8300,0.0148
pusht,SFP,3,0.8,0.7816,0.0387
pusht,SFP,3,1,0.7385,0.0093
pusht,SFP,3,1.2,0.6856,0.0158
pusht,SFP,3,1.4,0.5917,0.0145
pusht,SFP,3,1.6,0.5227,0.0036
pusht,SFP,3,1.8,0.5069,0.0193
pusht,SFP,3,2,0.4460,0.0151
pusht,SFP,3,2.4,0.3705,0.0135
pusht,SFP,3,2.8,0.3283,0.0122
pusht,SFP-ah4,3,0,0.9213,0.0094
pusht,SFP-ah4,3,0.2,0.9088,0.0071
pusht,SFP-ah4,3,0.4,0.8797,0.0081
pusht,SFP-ah4,3,0.6,0.8473,0.0194
pusht,SFP-ah4,3,0.8,0.8018,0.0203
pusht,SFP-ah4,3,1,0.7600,0.0147
pusht,SFP-ah4,3,1.2,0.7224,0.0160
pusht,SFP-ah4,3,1.4,0.6432,0.0086
pusht,SFP-ah4,3,1.6,0.6150,0.0241
pusht,SFP-ah4,3,1.8,0.5502,0.0399
pusht,SFP-ah4,3,2,0.5376,0.0283
pusht,SFP-ah4,3,2.4,0.4627,0.0266
pusht,SFP-ah4,3,2.8,0.3935,0.0259
pusht,SFP-ah2,3,0,0.8998,0.0077
pusht,SFP-ah2,3,0.2,0.8913,0.0222
pusht,SFP-ah2,3,0.4,0.8717,0.0214
pusht,SFP-ah2,3,0.6,0.8303,0.0068
pusht,SFP-ah2,3,0.8,0.7942,0.0292
pusht,SFP-ah2,3,1,0.7827,0.0053
pusht,SFP-ah2,3,1.2,0.7450,0.0166
pusht,SFP-ah2,3,1.4,0.6959,0.0131
pusht,SFP-ah2,3,1.6,0.6532,0.0214
pusht,SFP-ah2,3,1.8,0.6144,0.0192
pusht,SFP-ah2,3,2,0.5542,0.0308
pusht,SFP-ah2,3,2.4,0.4642,0.0085
pusht,SFP-ah2,3,2.8,0.4149,0.0182
pusht,SFP-1step,3,0,0.8435,0.0191
pusht,SFP-1step,3,0.2,0.8684,0.0190
pusht,SFP-1step,3,0.4,0.8552,0.0125
pusht,SFP-1step,3,0.6,0.8349,0.0132
pusht,SFP-1step,3,0.8,0.7963,0.0094
pusht,SFP-1step,3,1,0.7630,0.0158
pusht,SFP-1step,3,1.2,0.7426,0.0280
pusht,SFP-1step,3,1.4,0.7090,0.0249
pusht,SFP-1step,3,1.6,0.6624,0.0033
pusht,SFP-1step,3,1.8,0.6365,0.0429
pusht,SFP-1step,3,2,0.5570,0.0238
pusht,SFP-1step,3,2.4,0.4921,0.0157
pusht,SFP-1step,3,2.8,0.4456,0.0218
pusht,CL-SFP,3,0,0.8647,0.0486
pusht,CL-SFP,3,0.2,0.8563,0.0329
pusht,CL-SFP,3,0.4,0.8534,0.0354
pusht,CL-SFP,3,0.6,0.8329,0.0201
pusht,CL-SFP,3,0.8,0.7841,0.0199
pusht,CL-SFP,3,1,0.7517,0.0125
pusht,CL-SFP,3,1.2,0.7008,0.0148
pusht,CL-SFP,3,1.4,0.6668,0.0215
pusht,CL-SFP,3,1.6,0.6281,0.0163
pusht,CL-SFP,3,1.8,0.5793,0.0163
pusht,CL-SFP,3,2,0.5395,0.0249
pusht,CL-SFP,3,2.4,0.4649,0.0089
pusht,CL-SFP,3,2.8,0.4318,0.0035
pusht,CL-SFP+i,3,0,0.8779,0.0130
pusht,CL-SFP+i,3,0.2,0.8751,0.0080
pusht,CL-SFP+i,3,0.4,0.8616,0.0217
pusht,CL-SFP+i,3,0.6,0.8226,0.0287
pusht,CL-SFP+i,3,0.8,0.7731,0.0058
pusht,CL-SFP+i,3,1,0.7317,0.0149
pusht,CL-SFP+i,3,1.2,0.6898,0.0095
pusht,CL-SFP+i,3,1.4,0.6336,0.0180
pusht,CL-SFP+i,3,1.6,0.5954,0.0151
pusht,CL-SFP+i,3,1.8,0.5621,0.0164
pusht,CL-SFP+i,3,2,0.5357,0.0113
pusht,CL-SFP+i,3,2.4,0.4516,0.0140
pusht,CL-SFP+i,3,2.8,0.4202,0.0197
can,SFP,3,0,0.9367,0.0153
can,SFP,3,0.1,0.9233,0.0153
can,SFP,3,0.25,0.9067,0.0321
can,SFP,3,0.3,0.9033,0.0289
can,SFP,3,0.5,0.8167,0.0153
can,SFP,3,0.75,0.6733,0.0503
can,SFP,3,1,0.3533,0.0351
can,SFP,3,1.25,0.1200,0.0300
can,SFP,3,1.5,0.0433,0.0058
can,SFP-ah4,3,0,0.9767,0.0058
can,SFP-ah4,3,0.1,0.9733,0.0208
can,SFP-ah4,3,0.25,0.9500,0.0436
can,SFP-ah4,3,0.3,0.9333,0.0379
can,SFP-ah4,3,0.5,0.8167,0.0924
can,SFP-ah4,3,0.75,0.5667,0.0416
can,SFP-ah4,3,1,0.3167,0.0586
can,SFP-ah4,3,1.25,0.0900,0.0346
can,SFP-ah4,3,1.5,0.0300,0.0100
can,SFP-ah2,1,0,0.9200,0.0000
can,SFP-ah2,1,0.1,0.9000,0.0000
can,SFP-ah2,1,0.25,0.8800,0.0000
can,SFP-ah2,1,0.3,0.8600,0.0000
can,SFP-ah2,1,0.5,0.7600,0.0000
can,SFP-ah2,1,0.75,0.6900,0.0000
can,SFP-ah2,1,1,0.4800,0.0000
can,SFP-ah2,1,1.25,0.3100,0.0000
can,SFP-ah2,1,1.5,0.1300,0.0000
can,SFP-1step,3,0,0.8667,0.0321
can,SFP-1step,3,0.1,0.8600,0.0346
can,SFP-1step,3,0.25,0.8533,0.0289
can,SFP-1step,3,0.3,0.8300,0.0200
can,SFP-1step,3,0.5,0.7300,0.0656
can,SFP-1step,3,0.75,0.5800,0.1136
can,SFP-1step,3,1,0.3800,0.0300
can,SFP-1step,3,1.25,0.2467,0.0252
can,SFP-1step,3,1.5,0.1367,0.0306
can,CL-SFP,3,0,0.9000,0.0520
can,CL-SFP,3,0.1,0.8867,0.0666
can,CL-SFP,3,0.25,0.8900,0.0624
can,CL-SFP,3,0.3,0.8700,0.0721
can,CL-SFP,3,0.5,0.8333,0.0833
can,CL-SFP,3,0.75,0.7067,0.0404
can,CL-SFP,3,1,0.4267,0.0473
