task,method,n_seeds,static_mean,static_std,robust_mean,robust_std
pusht,SFP,3,0.9303,0.0060,0.4931,0.0074
pusht,SFP-ah4,3,0.9213,0.0094,0.5607,0.0183
pusht,SFP-ah2,3,0.8998,0.0077,0.5917,0.0101
pusht,SFP-1step,3,0.8435,0.0191,0.6065,0.0132
pusht,CL-SFP,3,0.8647,0.0486,0.5730,0.0057
pusht,CL-SFP+i,3,0.8779,0.0130,0.5555,0.0063
can,SFP,3,0.9367,0.0153,0.4908,0.0128
can,SFP-ah4,3,0.9767,0.0058,0.4475,0.0375
can,SFP-ah2,1,0.9200,0.0000,0.5600,0.0000
can,SFP-1step,3,0.8667,0.0321,0.4842,0.0427
can,CL-SFP,3,0.9000,0.0520,0.5542,0.0063
can,CL-SFP+i,3,0.9467,0.0153,0.6242,0.0679
square,SFP,3,0.7500,0.0200,0.2993,0.0162
square,SFP-ah4,3,0.7467,0.0208,0.3333,0.0076
square,SFP-ah2,1,0.6900,0.0000,0.2820,0.0000
square,SFP-1step,3,0.6333,0.0569,0.2813,0.0133
square,CL-SFP,3,0.7400,0.0529,0.3320,0.0193
square,CL-SFP+i,3,0.8000,0.0624,0.3820,0.0242
