level,sfp_mean,sfp_std,sfp_1step_mean,sfp_1step_std,cl_sfp_mean,cl_sfp_std
0.0,0.9303,0.0060,0.8435,0.0191,0.8647,0.0486
0.2,0.9396,0.0157,0.8684,0.0190,0.8563,0.0329
0.4,0.8904,0.0136,0.8552,0.0125,0.8534,0.0354
0.6,0.8300,0.0148,0.8349,0.0132,0.8329,0.0201
0.8,0.7816,0.0387,0.7963,0.0094,0.7841,0.0199
1.0,0.7385,0.0093,0.7630,0.0158,0.7517,0.0125
1.2,0.6856,0.0158,0.7426,0.0280,0.7008,0.0148
1.4,0.5917,0.0145,0.7090,0.0249,0.6668,0.0215
1.6,0.5227,0.0036,0.6624,0.0033,0.6281,0.0163
1.8,0.5069,0.0193,0.6365,0.0429,0.5793,0.0163
2.0,0.4460,0.0151,0.5570,0.0238,0.5395,0.0249
2.4,0.3705,0.0135,0.4921,0.0157,0.4649,0.0089
2.8,0.3283,0.0122,0.4456,0.0218,0.4318,0.0035
